docname,topic,proportion
blog_content_cleaned.csv:198,001,0.387632
blog_content_cleaned.csv:198,003,0.254237
blog_content_cleaned.csv:198,005,0.189659
blog_content_cleaned.csv:198,000,0.168472
blog_content_cleaned.csv:233,003,0.763864
blog_content_cleaned.csv:233,005,0.137866
blog_content_cleaned.csv:233,006,0.098269
blog_content_cleaned.csv:268,001,0.648651
blog_content_cleaned.csv:268,002,0.242927
blog_content_cleaned.csv:268,004,0.108422
blog_content_cleaned.csv:303,001,0.95114
blog_content_cleaned.csv:303,005,0.04886
blog_content_cleaned.csv:338,002,0.778336
blog_content_cleaned.csv:338,004,0.141488
blog_content_cleaned.csv:338,006,0.080177
blog_content_cleaned.csv:373,005,0.63377
blog_content_cleaned.csv:373,004,0.215582
blog_content_cleaned.csv:373,001,0.150648
blog_content_cleaned.csv:12,005,0.299692
blog_content_cleaned.csv:12,004,0.25114
blog_content_cleaned.csv:12,001,0.228737
blog_content_cleaned.csv:12,002,0.220431
blog_content_cleaned.csv:47,001,0.397253
blog_content_cleaned.csv:47,002,0.312187
blog_content_cleaned.csv:47,000,0.154772
blog_content_cleaned.csv:47,003,0.135788
blog_content_cleaned.csv:82,003,0.718452
blog_content_cleaned.csv:82,000,0.281549
blog_content_cleaned.csv:117,001,0.886911
blog_content_cleaned.csv:117,005,0.113089
blog_content_cleaned.csv:152,000,0.460357
blog_content_cleaned.csv:152,006,0.40661
blog_content_cleaned.csv:152,002,0.133032
blog_content_cleaned.csv:187,003,0.81559
blog_content_cleaned.csv:187,001,0.18441
blog_content_cleaned.csv:217,003,0.647895
blog_content_cleaned.csv:217,004,0.210816
blog_content_cleaned.csv:217,001,0.089156
blog_content_cleaned.csv:217,005,0.052133
blog_content_cleaned.csv:252,006,0.698065
blog_content_cleaned.csv:252,005,0.283486
blog_content_cleaned.csv:252,000,0.018448
blog_content_cleaned.csv:287,006,0.879789
blog_content_cleaned.csv:287,002,0.081454
blog_content_cleaned.csv:287,001,0.038758
blog_content_cleaned.csv:322,004,0.632875
blog_content_cleaned.csv:322,003,0.367125
blog_content_cleaned.csv:357,001,0.897559
blog_content_cleaned.csv:357,002,0.102441
blog_content_cleaned.csv:33,002,0.859475
blog_content_cleaned.csv:33,005,0.084539
blog_content_cleaned.csv:33,006,0.029825
blog_content_cleaned.csv:33,004,0.026162
blog_content_cleaned.csv:68,001,1.0
blog_content_cleaned.csv:103,002,0.473231
blog_content_cleaned.csv:103,001,0.353852
blog_content_cleaned.csv:103,003,0.11525
blog_content_cleaned.csv:103,006,0.057668
blog_content_cleaned.csv:138,002,0.399729
blog_content_cleaned.csv:138,001,0.39843
blog_content_cleaned.csv:138,004,0.141953
blog_content_cleaned.csv:138,006,0.059888
blog_content_cleaned.csv:173,000,0.95669
blog_content_cleaned.csv:173,001,0.04331
blog_content_cleaned.csv:203,002,0.681451
blog_content_cleaned.csv:203,004,0.170829
blog_content_cleaned.csv:203,006,0.14772
blog_content_cleaned.csv:238,001,1.0
blog_content_cleaned.csv:273,001,0.475411
blog_content_cleaned.csv:273,002,0.420598
blog_content_cleaned.csv:273,000,0.103991
blog_content_cleaned.csv:308,005,0.918638
blog_content_cleaned.csv:308,001,0.081362
blog_content_cleaned.csv:343,000,0.769768
blog_content_cleaned.csv:343,001,0.230232
blog_content_cleaned.csv:378,003,0.5828
blog_content_cleaned.csv:378,000,0.343246
blog_content_cleaned.csv:378,005,0.073953
blog_content_cleaned.csv:1,004,1.0
