Topic Modeling Id - New Index,Item ID,Title/Description,Idioma
14,ITEM-126001,"['jorn', 'conoc', 'ics', 'knowledg', 'week', 'ics']",Ingles
15,ITEM-126002,"['ingeni', 'braill', 'histori', 'braill', 'metodolog', 'desafi', 'present', 'aparicion', 'nuev', 'tecnolog']",Español
16,ITEM-127002,"['seminari', 'planif', 'sistem', 'electr', 'elev', 'particip', 'gener', 'distrib', 'director', 'españ', 'alici', 'montalv', 'santamari', 'division', 'energ', 'bid', 'invit', 'particip', 'seminari', 'planif', 'sistem', 'electr', 'elev', 'particip', 'gener', 'distribu', '-', 'aspect', 'fundamental', 'leccion', 'aprend', 'carg', 'firm', 'deloitt', 'españa.actual', 'vari', 'pais', 'lac', 'deficient', 'infraestructur', 'electr', 'gener', 'transmision', 'distribucion.', 'adicional', 'deficits', 'import', 'acces', 'electricidad.', 'lad', 'energ', 'renov', 'convencional', 'reduccion', 'import', 'cost', 'hac', 'competit', 'energ', 'tradicional', 'potencial', 'cambi', 'dinam', 'sector', 'electr', 'mayor', 'particip', 'solucion', 'gener', 'distribuida.', 'nuev', 'escenari', 'present', 'grand', 'oportun', 'region', 'realiz', 'brinc', 'tecnolog', 'direct', 'nuev', 'tecnolog', 'arregl', 'institucional', 'mejor', 'calid', 'servici', 'acces', 'cost', 'servici', 'bajos.', 'logr', 'benefici', 'embarg', 'hac', 'imprescind', 'adecu', 'planif', 'nivel', 'adecu', 'proces', 'tom', 'decision', 'dot', 'infraestructur', 'solucion', 'necesarias.', 'hac', 'posibl', 'requier', 'herramient', 'permit', 'correct', 'planif', 'medi', 'larg', 'plaz', 'local', 'nacional.', 'sesion', 'analiz', 'com', 'planif', 'energet', 'realiz', 'dos', 'nivel', 'macr', 'micro:', 'primer', 'aproxim', 'top-down', 'analiz', 'variabl', 'clav', 'como:', '(a)', 'directric', 'polit', 'energet', 'climat', '(b)', 'marc', 'regulatori', 'legisl', '(c)', 'objet', 'electrif', '(d)', 'prevision', 'evolu', 'demand', '(e)', 'estructur', 'evolu', 'demand', '(f)', 'disponibil', 'recurs', 'renov', '(g)', 'estructur', 'red;', 'segund', 'aproxim', 'bottom-up', 'analiz', 'aspect', 'relev', 'detall', 'demand', '(actual/potencial)', 'recurs', 'renov', 'orografia.s', 'expondr', 'factor', 'ilustr', 'planif', 'energet', 'realiz', 'baj', 'condicion', 'elev', 'cambi', 'tecnologico:', '(a)', 'reduccion', 'cost', 'energ', 'renov', '(b)', 'mejor', 'rendimient', 'disposit', 'almacen', 'reduccion', 'cost', '(c)', 'mejor', 'disposit', 'monitoriz', 'control', '(d)', 'gestion', 'activ', 'demand', '(e)', 'evalu', 'benefici', 'deriv', 'adopcion', 'solucion', '(f)', 'plan', 'gestion', 'relacion', 'institucional.p', 'anterior', 'deloitt', 'expondr', 'solucion', 'vide', 'viv', 'direct', 'foment', 'interact', 'intercambi', 'conoc', 'tod', 'sesion.', 'final', 'exposicion', 'abrir', 'turn', 'pregunt', 'foment', 'dialogo.', 'deloitt', 'españ', 'firm', '.', 'profesional', 'line', 'industri', 'dedic', 'especif', 'sector', 'energ', 'trabaj', 'hac', 'años', 'proyect', 'regul', 'grand', 'empres', 'sector', 'sector', 'publico.', 'profesional', 'encuentr', 'dos', 'lider', 'global', 'deloitt', 'regul', 'electricidad.', 'electr', 'cuent', 'unid', 'tecnic', 'fuert', 'especializ', 'energ', 'renov', 'solucion', 'planif', 'alta', 'particip', 'gener', 'distribuida.', 'lid', 'grup', 'tecnic', 'enriqu', 'doheij', 'gui', 'present', 'seminario.']",Español
17,ITEM-128001,"['brown', 'bag', 'breakfast-estrategi', 'innov', 'banc', 'fallabel', 'colombi', 'estrategi', 'innov', 'banc', 'fallabel', 'colombi', 'present', 'sergi', 'muñoz', 'ceo', 'banc', 'fallabel', 'colombi', 'head', 'global', 'innov', 'banco.pued', 'acced', 'webin', 'remot', 'traves', 'webex:', 'join', 'webex', 'meeting', '(https://iadb.webex.com/iadb/j.php?mtid=mbcebdddbadae)meeting', 'numb', '(access', 'code):', 'join', 'by', 'phon', '---', 'call-in', 'toll', 'numb', '(us/canada)', 'global', 'call-in', 'numbers', '(https://iadb.webex.com/iadb/globalcallin.php?servicetype=mc&ed=&tollfree=)']",Español
18,ITEM-129001,"['proyect', 'ideas:', 'liderazg', 'tom', 'decision', 'inteligent', 'creatividad.', 'perspect', 'neur']",Español
19,ITEM-13001,"['pmr:', 'vision', 'general', '(/)', 'curs', 'pmr:', 'vision', 'general', 'primer', 'total', 'curs', 'podras', 'conoc', 'detall', 'report', 'monitore', 'progres', 'pmr', 'sigl', 'ingles.', 'prim', 'curs', 'comprend', 'pmr', 'util', 'instrument', 'efect', 'desarrollo.', 'podras', 'identific', 'oper', 'requier', 'elabor', 'pmr', 'cuando.', 'adicional', 'disposicion', 'gui', 'pas', 'pas', 'ayud', 'registr', 'inform', 'progres', 'oper', 'convergencia.']",Español
20,ITEM-13003,"['pmr:', 'aprob', 'proyect', '(/)', 'aprend', 'com', 'cre', 'prim', 'report', 'progres', 'operacion.', 'curs', 'pmr:', 'aprob', 'proyect', 'logr', 'elegibil', 'segund', 'total', 'curs', 'podras', 'conoc', 'detall', 'report', 'monitore', 'progres', 'pmr', 'sigl', 'ingles.', 'finaliz', 'segund', 'curs', 'capaz', 'reconoc', 'pas', 'elabor', 'pmr', 'etap', 'aprob', 'logr', 'elegibilidad.', 'adicional', 'disposicion', 'gui', 'pas', 'pas', 'ayud', 'registr', 'inform', 'progres', 'oper', 'convergencia.']",Español
21,ITEM-131001,"['mes', 'redonda:', 'teleferico.', 'altern', 'innov', 'movil', 'bolivia.']",Español
22,ITEM-132001,"['capacit', 'present', 'sesion', 'objet', 'capacit', 'equip', 'intal', 'mejor', 'habil', 'gener', 'charl', 'cort', 'present', 'trabaj', 'profundiz', 'conten', 'form', 'present', 'pas', 'instanci', 'ensayo.']",Español
23,ITEM-132002,"['tall', 'bien', 'public', 'regionales:', 'diseñ', 'colect', 'solucion', 'desarrollo”', 'encuentr', '“bien', 'public', 'regionales:', 'diseñ', 'colect', 'solucion', 'desarrollo”', 'busc', 'reun', 'jef', 'equip', 'proyect', 'financi', 'inici', 'bpr', 'finaliz', 'recient', 'encuentr', 'ultim', 'etap', 'implement', 'alto', 'potencial', 'ofrec', 'leccion', 'relev', 'evalu', 'diseñ', 'proyect', 'futur', 'ser', 'apoy', 'inici', 'bpr.']",Español
